<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.15	05:02:00	18069.0	18073.6	18068.9	18073.0	86	0	18
2024.04.15	05:03:00	18072.9	18077.4	18072.9	18076.1	121	0	18
2024.04.15	05:04:00	18076.0	18076.4	18071.1	18073.4	117	0	18
2024.04.15	05:05:00	18073.5	18074.8	18073.1	18073.6	84	0	18
2024.04.15	05:06:00	18073.5	18074.1	18071.6	18071.9	71	0	18
2024.04.15	05:07:00	18071.7	18074.0	18071.7	18074.0	88	0	20
2024.04.15	05:08:00	18074.1	18074.6	18070.0	18070.4	68	0	20
2024.04.15	05:09:00	18069.7	18071.7	18069.7	18070.2	93	0	20
2024.04.15	05:10:00	18070.1	18070.7	18067.6	18067.6	89	0	18
2024.04.15	05:11:00	18068.0	18070.9	18068.0	18070.1	86	0	18
2024.04.15	05:12:00	18070.9	18073.4	18070.1	18071.3	84	0	18
2024.04.15	05:13:00	18071.4	18072.4	18067.6	18072.1	77	0	20
2024.04.15	05:14:00	18072.0	18072.1	18070.6	18070.6	71	0	20
2024.04.15	05:15:00	18070.7	18075.6	18070.3	18075.6	94	0	18
2024.04.15	05:16:00	18075.7	18075.9	18074.5	18075.0	79	0	18
2024.04.15	05:17:00	18075.6	18075.6	18072.7	18074.3	80	0	20
2024.04.15	05:18:00	18074.1	18075.0	18073.1	18073.3	52	0	18
2024.04.15	05:19:00	18072.6	18074.4	18071.8	18073.9	80	0	20
2024.04.15	05:20:00	18074.0	18075.1	18073.5	18074.4	61	0	18
2024.04.15	05:21:00	18074.5	18075.9	18073.6	18075.3	49	0	20
2024.04.15	05:22:00	18075.1	18075.6	18074.1	18075.2	42	0	20
2024.04.15	05:23:00	18075.6	18076.0	18073.0	18074.1	65	0	20
2024.04.15	05:24:00	18074.3	18074.3	18071.3	18073.5	51	0	18
2024.04.15	05:25:00	18072.9	18074.9	18072.6	18072.6	65	0	20
2024.04.15	05:26:00	18072.8	18073.9	18072.5	18072.7	52	0	20
2024.04.15	05:27:00	18072.6	18073.6	18071.5	18071.9	66	0	20
2024.04.15	05:28:00	18071.7	18071.7	18069.1	18069.2	56	0	20
2024.04.15	05:29:00	18069.4	18071.9	18069.1	18070.6	57	0	20
2024.04.15	05:30:00	18070.5	18072.8	18070.5	18072.1	79	0	20
2024.04.15	05:31:00	18072.2	18073.0	18071.1	18071.2	55	0	18
2024.04.15	05:32:00	18071.1	18071.1	18067.2	18067.5	73	0	20
2024.04.15	05:33:00	18066.7	18067.4	18065.1	18066.1	77	0	18
2024.04.15	05:34:00	18066.3	18067.9	18065.5	18065.6	68	0	18
2024.04.15	05:35:00	18066.0	18066.7	18065.1	18066.4	65	0	18
2024.04.15	05:36:00	18066.3	18066.6	18065.6	18066.6	39	0	20
2024.04.15	05:37:00	18067.3	18068.4	18067.1	18067.7	57	0	20
2024.04.15	05:38:00	18067.6	18071.0	18067.5	18070.4	43	0	18
2024.04.15	05:39:00	18070.5	18072.1	18070.2	18071.7	47	0	18
2024.04.15	05:40:00	18071.9	18072.0	18070.6	18071.1	26	0	18
2024.04.15	05:41:00	18071.5	18072.2	18070.1	18071.5	58	0	18
2024.04.15	05:42:00	18071.6	18073.4	18071.4	18073.1	64	0	18
2024.04.15	05:43:00	18073.0	18073.2	18070.5	18070.9	41	0	18
2024.04.15	05:44:00	18071.0	18071.1	18067.7	18068.0	72	0	18
2024.04.15	05:45:00	18068.1	18068.3	18066.9	18068.1	58	0	20
2024.04.15	05:46:00	18068.2	18069.9	18067.0	18067.0	42	0	20
2024.04.15	05:47:00	18067.4	18068.5	18067.4	18068.1	52	0	20
2024.04.15	05:48:00	18068.8	18070.1	18068.4	18069.9	45	0	20
2024.04.15	05:49:00	18070.0	18070.1	18067.5	18068.9	45	0	20
2024.04.15	05:50:00	18069.0	18071.1	18068.8	18069.9	47	0	20
2024.04.15	05:51:00	18069.5	18071.5	18069.2	18070.4	37	0	20
2024.04.15	05:52:00	18069.1	18070.7	18066.9	18067.4	57	0	20
2024.04.15	05:53:00	18067.5	18068.2	18065.1	18066.3	68	0	18
2024.04.15	05:54:00	18066.4	18067.5	18066.1	18066.6	71	0	20
2024.04.15	05:55:00	18066.8	18067.0	18064.7	18066.0	42	0	20
2024.04.15	05:56:00	18066.1	18066.4	18065.2	18065.9	54	0	20
2024.04.15	05:57:00	18066.0	18067.1	18066.0	18066.7	58	0	18
2024.04.15	05:58:00	18067.0	18067.9	18066.0	18066.2	40	0	18
2024.04.15	05:59:00	18066.4	18066.4	18064.6	18065.3	40	0	18
2024.04.15	06:00:00	18065.4	18065.6	18063.7	18064.4	70	0	18
2024.04.15	06:01:00	18064.6	18064.8	18058.1	18058.6	45	0	18
2024.04.15	06:02:00	18058.9	18060.1	18056.5	18056.8	92	0	18
2024.04.15	06:03:00	18056.9	18059.4	18056.3	18059.1	86	0	18
2024.04.15	06:04:00	18059.2	18063.4	18059.1	18061.6	76	0	18
2024.04.15	06:05:00	18060.7	18061.6	18059.5	18059.6	52	0	18
2024.04.15	06:06:00	18060.0	18060.5	18057.5	18058.9	69	0	20
2024.04.15	06:07:00	18059.0	18060.6	18058.9	18060.6	45	0	18
2024.04.15	06:08:00	18060.5	18061.9	18059.0	18061.9	64	0	18
2024.04.15	06:09:00	18061.5	18062.0	18061.1	18061.4	56	0	20
2024.04.15	06:10:00	18062.2	18063.5	18062.0	18062.0	48	0	18
2024.04.15	06:11:00	18061.9	18061.9	18059.3	18061.0	62	0	18
2024.04.15	06:12:00	18060.1	18061.6	18059.6	18060.5	48	0	20
2024.04.15	06:13:00	18060.6	18060.7	18058.3	18058.4	42	0	20
2024.04.15	06:14:00	18058.0	18058.7	18057.6	18058.1	38	0	20
2024.04.15	06:15:00	18058.3	18059.1	18056.7	18058.9	49	0	20
2024.04.15	06:16:00	18059.6	18060.6	18057.9	18058.6	44	0	20
2024.04.15	06:17:00	18058.7	18059.6	18058.5	18058.8	35	0	18
2024.04.15	06:18:00	18059.0	18059.0	18056.7	18057.7	49	0	18
2024.04.15	06:19:00	18057.9	18059.6	18057.8	18059.6	26	0	18
2024.04.15	06:20:00	18059.0	18059.1	18056.6	18057.9	45	0	18
2024.04.15	06:21:00	18057.7	18061.2	18057.7	18060.6	72	0	18
2024.04.15	06:22:00	18060.5	18064.5	18060.4	18063.9	86	0	20
2024.04.15	06:23:00	18063.2	18065.4	18061.4	18065.4	51	0	20
2024.04.15	06:24:00	18065.3	18066.1	18064.1	18065.2	72	0	20
2024.04.15	06:25:00	18065.4	18065.4	18064.0	18065.4	33	0	20
2024.04.15	06:26:00	18065.0	18066.2	18064.1	18065.1	60	0	18
2024.04.15	06:27:00	18065.2	18065.7	18064.6	18065.0	37	0	20
2024.04.15	06:28:00	18064.9	18067.7	18064.9	18067.4	62	0	20
2024.04.15	06:29:00	18067.5	18070.4	18067.2	18068.9	75	0	18
